file_path,file_size,commits_count
backend/src/utils/logger.ts,2840,6
backend/src/utils/misc.ts,7956,25
backend/src/utils/monkey-mail.ts,397,5
backend/src/utils/monkey-response.ts,940,3
backend/src/utils/pb.ts,5847,15
backend/src/utils/prometheus.ts,8125,24
backend/src/utils/result.ts,2059,6
backend/src/utils/validation.ts,7515,17
backend/src/version.ts,1023,3
backend/src/workers/email-worker.ts,1249,4
backend/src/workers/index.ts,128,2
backend/src/workers/later-worker.ts,5818,7
backend/tsconfig.json,973,18
backend/vitest.config.js,303,3
bin/buildChangelog.mjs,12800,12
bin/deployBackend.sh,257,1
bin/install.cmd,77,2
bin/install.sh,65,3
bin/purgeCfCache.sh,505,1
commitlint.config.js,4189,2
docker/backend-configuration.json,235,1
docker/backend/Dockerfile,872,3
docker/backend/applyConfig.sh,509,1
docker/backend/entry-point.sh,42,1
docker/docker-compose.yml,2788,3
docker/example.env,774,2
docker/frontend/Dockerfile,849,3
docker/frontend/firebase-config-live.ts,597,1
docker/frontend/updateConfig.sh,792,1
docker/serviceAccountKey-example.json,457,1
example.env,154,2
frontend/.eslintignore,19,2
frontend/.firebaserc_example,66,1
frontend/__tests__/elements/test-activity-calendar.spec.ts,22262,2
frontend/__tests__/setup-tests.ts,334,4
frontend/__tests__/test/config.spec.ts,1547,3
frontend/__tests__/test/lazy-mode.spec.ts,1423,3
frontend/__tests__/test/misc.spec.ts,1800,2
frontend/__tests__/tsconfig.json,631,5
frontend/__tests__/utils/format.spec.ts,10901,4
frontend/__tests__/utils/numbers.spec.ts,2382,1
frontend/__tests__/vitest.d.ts,642,1
frontend/docker/compose.dev.yml,622,2
frontend/firebase.json,2470,15
frontend/gulpfile.js,942,31
frontend/knip.json,64,1
frontend/package-lock.json,558083,78
frontend/package.json,2844,86
frontend/scripts/fill-colors.js,1630,1
frontend/scripts/fix-quote-lengths.cjs,695,1
frontend/scripts/fontawesome.mjs,4034,2
frontend/scripts/json-validation.cjs,18549,2
frontend/src/404.html,5086,2
frontend/src/email-handler.html,18129,4
frontend/src/html/footer.html,2608,3
frontend/src/html/head.html,3349,1
frontend/src/html/header.html,6258,4
frontend/src/html/pages/404.html,367,2
frontend/src/html/pages/about.html,8761,5
frontend/src/html/pages/account.html,22487,10
frontend/src/html/pages/loading.html,331,1
frontend/src/html/pages/login.html,2358,5
frontend/src/html/pages/profile.html,5275,4
